Date,T_RTD,Orig_Data
1/20/21 09:00,-1.446428989,0
1/20/21 10:00,-2.546378613,0
1/20/21 11:00,-2.913028488,0
1/20/21 12:00,-3.279678363,0
1/20/21 13:00,-2.913028488,0
1/20/21 14:00,-3.279678363,0
1/20/21 15:00,-3.646328237,0
1/20/21 16:00,-4.012978112,0
1/20/21 17:00,-3.646328237,0
1/20/21 18:00,-3.279678363,0
1/20/21 19:00,-2.546378613,0
1/20/21 20:00,-1.446428989,0
1/20/21 21:00,-1.079779114,0
1/20/21 22:00,-1.446428989,0
1/20/21 23:00,-1.079779114,0
1/21/21 00:00,-1.079779114,0
1/21/21 01:00,-1.446428989,0
1/21/21 02:00,-1.813078864,0
1/21/21 03:00,-1.813078864,0
1/21/21 04:00,-2.179728738,0
1/21/21 05:00,-2.546378613,0
1/21/21 06:00,-3.646328237,0
1/21/21 07:00,-4.746277861,0
1/21/21 08:00,-4.379627987,0
1/21/21 09:00,-4.012978112,0
1/21/21 10:00,-4.012978112,0
1/21/21 11:00,-4.012978112,0
1/21/21 12:00,-4.746277861,0
1/21/21 13:00,-6.21287736,0
1/21/21 14:00,-6.94617711,0
1/21/21 15:00,-7.679476859,0
1/21/21 16:00,-8.046126734,0
1/21/21 17:00,-8.412776609,0
1/21/21 18:00,-8.779426483,0
1/21/21 19:00,-8.779426483,0
1/21/21 20:00,-8.046126734,0
1/21/21 21:00,-5.846227486,0
1/21/21 22:00,-4.379627987,0
1/21/21 23:00,-5.479577611,0
1/22/21 00:00,-6.579527235,0
1/22/21 01:00,-5.846227486,0
1/22/21 02:00,-5.112927736,0
1/22/21 03:00,-5.112927736,0
1/22/21 04:00,-5.112927736,0
1/22/21 05:00,-4.746277861,0
1/22/21 06:00,-4.746277861,0
1/22/21 07:00,-5.112927736,0
1/22/21 08:00,-5.479577611,0
1/22/21 09:00,-5.846227486,0
1/22/21 10:00,-6.21287736,0
1/22/21 11:00,-5.479577611,0
1/22/21 12:00,-5.479577611,0
1/22/21 13:00,-5.112927736,0
1/22/21 14:00,-5.846227486,0
1/22/21 15:00,-5.846227486,0
1/22/21 16:00,-5.479577611,0
1/22/21 17:00,-4.746277861,0
