,gates,gates,gates,may,may,may,buri,buri,buri,usgs,usgs,usgs,coop,coop,coop
,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMAX,TMIN,TAVG
2018-09-01 00:00:00-08:00,2.7777777777777777,5.530092592592593,8.499999999999998,-1.1111111111111112,7.152777777777779,15.555555555555557,,,,3.8,9.642708333333333,18.1,,,
2018-09-02 00:00:00-08:00,3.3333333333333335,5.340277777777778,7.833333333333335,-2.7777777777777777,7.24537037037037,19.444444444444446,,,,0.7,7.580208333333334,15.8,,,
2018-09-03 00:00:00-08:00,4.333333333333332,7.212962962962963,10.722222222222221,-2.2222222222222223,8.078703703703704,19.444444444444446,,,,-0.3,9.380208333333334,22.5,,,
2018-09-04 00:00:00-08:00,5.1111111111111125,7.914351851851852,10.88888888888889,1.6666666666666667,9.652777777777779,18.88888888888889,,,,0.2,9.895833333333334,21.3,,,
2018-09-05 00:00:00-08:00,4.333333333333332,7.335648148148148,10.833333333333334,-1.1111111111111112,7.222222222222222,17.77777777777778,,,,2.7,10.012500000000001,19.8,,,
2018-09-06 00:00:00-08:00,5.055555555555556,6.217592592592593,7.833333333333335,2.7777777777777777,9.375,17.22222222222222,,,,3.1,8.122916666666667,14.0,,,
2018-09-07 00:00:00-08:00,3.7777777777777763,6.777777777777778,10.555555555555555,-0.5555555555555556,10.879629629629632,17.77777777777778,,,,4.2,10.785416666666668,17.1,,,
2018-09-08 00:00:00-08:00,5.388888888888891,7.960648148148149,12.277777777777779,-1.6666666666666667,10.671296296296298,17.77777777777778,,,,2.2,9.81875,16.5,,,
2018-09-09 00:00:00-08:00,5.499999999999999,8.13888888888889,11.38888888888889,-2.7777777777777777,8.518518518518519,17.77777777777778,,,,-0.7,8.59375,19.4,,,
2018-09-10 00:00:00-08:00,5.388888888888891,7.969907407407408,10.666666666666668,-2.7777777777777777,6.412037037037037,18.88888888888889,,,,-1.2,8.560416666666667,20.3,,,
2018-09-11 00:00:00-08:00,6.055555555555555,8.921296296296296,11.944444444444445,-2.2222222222222223,7.75462962962963,18.88888888888889,,,,-0.3,8.672916666666667,21.0,,,
2018-09-12 00:00:00-08:00,7.11111111111111,8.881944444444445,10.611111111111112,-1.6666666666666667,9.212962962962964,19.444444444444446,,,,0.5,9.270833333333334,19.4,,,
2018-09-13 00:00:00-08:00,5.88888888888889,8.601851851851853,11.666666666666668,-1.1111111111111112,11.712962962962964,18.88888888888889,,,,1.6,11.356250000000001,22.3,,,
2018-09-14 00:00:00-08:00,3.8333333333333326,6.652777777777779,10.444444444444443,-3.3333333333333335,4.953703703703703,17.77777777777778,,,,0.1,9.153125000000001,20.7,,,
2018-09-15 00:00:00-08:00,4.61111111111111,5.796296296296297,7.166666666666666,2.2222222222222223,7.893518518518519,14.444444444444445,,,,-0.2,6.522916666666667,15.4,,,
2018-09-16 00:00:00-08:00,3.111111111111112,4.256944444444445,6.666666666666667,4.444444444444445,9.166666666666666,16.11111111111111,,,,4.0,7.715625,14.3,,,
2018-09-17 00:00:00-08:00,2.666666666666665,4.606481481481482,9.000000000000002,3.8888888888888893,8.63425925925926,15.555555555555557,,,,5.0,9.038541666666667,17.7,,,
2018-09-18 00:00:00-08:00,3.222222222222221,5.537037037037037,8.61111111111111,-2.2222222222222223,6.342592592592593,14.444444444444445,,,,2.3,8.775,17.8,,,
2018-09-19 00:00:00-08:00,3.1666666666666683,4.777777777777778,6.500000000000002,0.5555555555555556,7.013888888888889,16.11111111111111,,,,1.7,6.809375,13.5,,,
2018-09-20 00:00:00-08:00,3.1666666666666683,4.958333333333334,6.833333333333332,-2.2222222222222223,4.907407407407407,16.11111111111111,,,,1.4,6.977083333333333,19.8,,,
2018-09-21 00:00:00-08:00,3.555555555555555,4.824074074074074,6.500000000000002,6.111111111111112,8.75,15.0,,,,1.9,6.911458333333333,14.8,,,
2018-09-22 00:00:00-08:00,0.05555555555555635,1.9745370370370372,4.444444444444445,-2.7777777777777777,5.37037037037037,15.555555555555557,,,,3.0,6.859375,8.9,,,
2018-09-23 00:00:00-08:00,2.2777777777777786,3.613425925925926,5.444444444444443,1.1111111111111112,6.064814814814816,15.0,,,,0.1,6.934375,14.5,,,
2018-09-24 00:00:00-08:00,0.6666666666666683,2.6481481481481484,4.000000000000002,2.7777777777777777,9.976851851851853,15.555555555555557,,,,4.3,7.7,10.9,,,
2018-09-25 00:00:00-08:00,2.11111111111111,3.3958333333333335,5.7222222222222205,-7.222222222222222,2.2222222222222223,14.444444444444445,,,,0.3,7.296875,16.7,,,
2018-09-26 00:00:00-08:00,0.9999999999999984,3.1643518518518516,5.88888888888889,-1.6666666666666667,1.7592592592592593,11.11111111111111,,,,-3.8,4.5562499999999995,14.7,,,
2018-09-27 00:00:00-08:00,0.3888888888888905,2.2337962962962963,4.111111111111111,2.7777777777777777,5.069444444444445,10.555555555555555,,,,0.1,2.9947916666666665,6.0,,,
2018-09-28 00:00:00-08:00,1.9444444444444446,4.541666666666667,8.055555555555555,-1.6666666666666667,5.787037037037037,13.333333333333334,,,,2.8,6.04375,11.3,,,
2018-09-29 00:00:00-08:00,2.944444444444443,5.020833333333333,7.666666666666665,-6.666666666666667,1.8981481481481481,13.88888888888889,,,,-0.2,6.51875,16.9,,,
2018-09-30 00:00:00-08:00,0.9999999999999984,4.032407407407407,8.166666666666668,-6.666666666666667,1.5972222222222223,15.555555555555557,,,,-3.3,4.920833333333333,21.2,,,
2018-10-01 00:00:00-08:00,4.500000000000001,8.70138888888889,13.777777777777777,-8.333333333333334,1.0648148148148149,14.444444444444445,,,,-3.8,4.620833333333333,19.7,,,
2018-10-02 00:00:00-08:00,3.055555555555556,5.6134259259259265,8.166666666666668,-7.777777777777779,0.4398148148148148,13.88888888888889,,,,-4.5,4.676041666666667,20.3,,,
2018-10-03 00:00:00-08:00,1.6111111111111105,3.141203703703703,5.999999999999999,-3.3333333333333335,3.425925925925926,12.777777777777779,,,,-3.7,4.558333333333334,19.3,,,
2018-10-04 00:00:00-08:00,2.5,4.057870370370371,5.388888888888891,-0.5555555555555556,4.375,10.555555555555555,,,,-1.7,4.9437500000000005,13.5,,,
2018-10-05 00:00:00-08:00,2.2777777777777786,3.439814814814815,4.444444444444445,-0.5555555555555556,4.328703703703703,11.666666666666668,,,,1.4,5.116666666666666,14.3,,,
2018-10-06 00:00:00-08:00,1.2222222222222239,2.625,5.555555555555555,-4.444444444444445,1.6666666666666667,10.0,,,,1.1,6.765625,17.9,,,
2018-10-07 00:00:00-08:00,-0.16666666666666707,1.2685185185185186,3.555555555555555,1.6666666666666667,5.0,10.555555555555555,,,,-1.1,5.0125,14.7,,,
2018-10-08 00:00:00-08:00,-1.555555555555556,-0.40046296296296285,1.7777777777777795,-4.444444444444445,0.7175925925925926,9.444444444444445,,,,-1.6,4.422916666666667,12.5,,,
2018-10-09 00:00:00-08:00,-0.6666666666666663,1.2685185185185184,4.61111111111111,-2.7777777777777777,1.0416666666666667,7.777777777777779,,,,-3.1,1.6451612903225807,16.0,,,
2018-10-10 00:00:00-08:00,1.722222222222223,2.657407407407407,3.7777777777777763,-1.1111111111111112,5.902777777777778,11.11111111111111,,,,,,,,,
2018-10-11 00:00:00-08:00,-0.2777777777777778,1.0300925925925926,2.666666666666665,-5.0,1.25,9.444444444444445,,,,,,,,,
2018-10-12 00:00:00-08:00,-0.8333333333333334,0.7060185185185185,3.1666666666666683,1.6666666666666667,4.212962962962963,7.777777777777779,,,,,,,,,
2018-10-13 00:00:00-08:00,0.05555555555555635,2.6250000000000004,4.2777777777777795,-5.0,2.5462962962962963,10.555555555555555,,,,,,,,,
2018-10-14 00:00:00-08:00,0.0,2.076388888888889,4.388888888888888,-1.1111111111111112,1.1805555555555556,5.555555555555555,,,,,,,,,
2018-10-15 00:00:00-08:00,1.1666666666666674,5.62037037037037,9.333333333333332,0.5555555555555556,6.875,11.666666666666668,,,,,,,,,
2018-10-16 00:00:00-08:00,0.0,3.497685185185185,8.277777777777777,-1.1111111111111112,3.6342592592592595,7.777777777777779,,,,,,,,,
2018-10-17 00:00:00-08:00,0.22222222222222143,1.2708333333333333,2.3888888888888875,-0.5555555555555556,2.8472222222222228,7.222222222222222,,,,,,,,,
2018-10-18 00:00:00-08:00,-0.6666666666666663,1.1388888888888888,2.7777777777777777,0.5555555555555556,4.166666666666667,6.666666666666667,,,,,,,,,
2018-10-19 00:00:00-08:00,-0.777777777777777,1.7592592592592593,4.2777777777777795,4.444444444444445,7.106481481481482,9.444444444444445,,,,,,,,,
2018-10-20 00:00:00-08:00,-0.6666666666666663,0.2013888888888888,1.2777777777777763,-2.2222222222222223,1.2037037037037037,6.666666666666667,,,,,,,,,
2018-10-21 00:00:00-08:00,-0.3888888888888885,1.756944444444444,4.333333333333332,-7.222222222222222,-2.361111111111111,3.8888888888888893,,,,,,,,,
